Taxon name,Author
Hylocereus undatus,(Haw.) Britton & Rose
Hylodendron gabunense,Taub.
Hymenaea aurea,Y.T.Lee & Langenh.
Hymenaea courbaril,L.
Hymenaea eriogyne,Benth.
Hymenaea fariana,"R.D.Ribeiro, D.B.O.S.Cardoso & H.C.Lima"
Hymenaea intermedia,Ducke
Hymenaea longifolia,"(Benth.) I.M.Souza, Funch & L.P.Queiroz"
Hymenaea maranhensis,Y.T.Lee & Langenh.
Hymenaea martiana,(Hayne) Hayne
Hymenaea oblongifolia,Huber
Hymenaea parvifolia,Huber
Hymenaea reticulata,Ducke
Hymenaea rubriflora,Ducke
Hymenaea stigonocarpa,Mart. ex Hayne
Hymenaea torrei,León        
Hymenaea velutina,Ducke
Hymenaea verrucosa,Gaertn.
Hymenandra acutissima,(Cuatrec.) Pipoly & Ricketson
Hymenandra callejasii,(Pipoly) Pipoly & Ricketson
Hymenandra pittieri,(Mez) Pipoly & Ricketson
Hymenandra stenophylla,(Donn. Sm.) Pipoly & Ricketson
Hymenandra wilburiana,(Lundell) Pipoly & Ricketson
Hymenocardia acida,Tul.
Hymenocardia heudelotii,Planch. ex Müll.Arg.
Hymenocardia lyrata,Tul.
Hymenocardia punctata,Wall. ex Lindl.
Hymenocardia ripicola,J.Léonard
Hymenocardia ulmoides,Oliv.
Hymenodictyon antakaranensis,Razafim. & B.Bremer
Hymenodictyon berivotrense,Cavaco
Hymenodictyon biafranum,Hiern
Hymenodictyon decaryi,Homolle
Hymenodictyon embergeri,Cavaco
Hymenodictyon flaccidum,Wall.
Hymenodictyon floribundum,(Hochst. & Steud.) B.L.Rob.
Hymenodictyon glabrum,(Cavaco) Razafim. & B.Bremer
Hymenodictyon horsfieldii,Miq.
Hymenodictyon leandrii,Cavaco
Hymenodictyon louhavate,Homolle
Hymenodictyon madagascaricum,Baill. ex Razafim. & B.Bremer
Hymenodictyon obovatum,Wall.
Hymenodictyon occidentale,Homolle
Hymenodictyon orixense,(Roxb.) Mabb.
Hymenodictyon pachyantha,K.Krause
Hymenodictyon parvifolium,Oliv.
Hymenodictyon perrieri,Drake
Hymenodictyon septentrionale,Cavaco
Hymenodictyon timoranum,(Span.) Miq.
Hymenodictyon tsingy,Razafim. & B.Bremer
Hymenolobium alagoanum,Ducke
Hymenolobium elatum,Ducke
Hymenolobium excelsum,Ducke
Hymenolobium flavum,Kleinhoonte
Hymenolobium grazielanum,H.C.Lima
Hymenolobium heringeranum,Rizzini
Hymenolobium heterocarpum,Ducke
Hymenolobium janeirense,Kuhlm.
Hymenolobium mesoamericanum,H.C.Lima
Hymenolobium modestum,Ducke
Hymenolobium nitidum,Benth.
Hymenolobium petraeum,Ducke
Hymenolobium pulcherrimum,Ducke
Hymenolobium sericeum,Ducke
Hymenolobium velutinum,Ducke
Hymenosporum flavum,F.Muell.
Hymenostegia aubrevillei,Pellegr.
Hymenostegia bakeriana,Hutch. & Dalziel
Hymenostegia brachyura,(Harms) J.Léonard
Hymenostegia elegans,Wieringa & Mackinder
Hymenostegia felicis,(A.Chev.) J.Léonard
Hymenostegia floribunda,(Benth.) Harms
Hymenostegia gracilipes,Hutch. & Dalziel
Hymenostegia klainei,Pierre ex Pellegr.
Hymenostegia mundungu,(Pellegr.) J.Léonard
Hymenostegia neoaubrevillei,J.Léonard
Hymenostegia normandii,Pellegr.
Hymenostegia pellegrinii,(A.Chev.) J.Léonard
Hymenostegia robusta,Wieringa & Mackinder
Hymenostegia talbotii,Baker f.
Hymenostegia viridiflora,Mackinder & Wieringa
Hyophorbe amaricaulis,Mart.
Hyophorbe indica,Gaertn.
Hyophorbe lagenicaulis,(L.H.Bailey) H.E.Moore
Hyophorbe vaughanii,L.H.Bailey
Hyophorbe verschaffeltii,H.Wendl.
Hyospathe elegans,Mart.
Hyospathe frontinensis,A.J.Hend.
Hyospathe peruviana,A.J.Hend.
Hypelate trifoliata,Sw.
Hyperacanthus ambovombensis,Rakotonas. & A.P.Davis
Hyperacanthus amoenus,(Sims) Bridson
Hyperacanthus grevei,Rakotonas. & A.P. Davis       
Hyperacanthus madagascariensis,(Lam.) Rakotonas. & A.P.Davis
Hyperacanthus mandenensis,Rakotonas. & A.P. Davis       
Hyperacanthus microphyllus,(K.Schum.) Bridson
Hyperacanthus perrieri,(Drake) Rakotonas. & A.P.Davis
Hyperacanthus pervillei,(Drake) Rakotonas. & A.P.Davis
Hyperacanthus poivrei,(Drake) Rakotonas. & A.P.Davis
Hyperacanthus ravinensis,(Baill. ex Drake) Rakotonas. & A.P.Davis
Hyperacanthus talangninia,(DC.) Rakotonas. & A.P.Davis
Hyperbaena allenii,Standl.
Hyperbaena eladioana,Q. Jiménez
Hyperbaena jalcomulcensis,E. Pérez & Cast.-Campos
Hyperbaena laurifolia,(Poir.) Urb.
Hyperbaena leptobotryosa,(Donn.Sm.) Standl.
Hyperbaena lindmanii,Urb.
Hyperbaena mexicana,Miers
Hyperbaena prioriana,Miers
Hyperbaena tonduzii,Diels
Hyperbaena undulata,Urb. & Ekman
Hyperbaena valida,Miers
Hyperbaena winzerlingii,Standl.
Hypericum balfourii,N.Robson
Hypericum bequaertii,De Wild.
Hypericum chapmanii,P.B.Adams
Hypericum gnidiifolium,A.Rich.
Hypericum hircinum,L.
Hypericum irazuense,Kuntze ex N.Robson
Hypericum lanceolatum,Lam.
Hypericum lancifolium,Gleason
Hypericum laricifolium,Juss.
Hypericum paramitanum,N.Robson
Hypericum phellos,Gleason
Hypericum quartinianum,A.Rich.
Hypericum revolutum,Vahl
Hypericum roeperianum,Schimp. ex A.Rich.
Hypericum smithii,(N.Robson) N.Robson
Hypericum socotranum,R.D.Good
Hypericum stenopetalum,Turcz.
Hypericum styphelioides,A.Rich.
Hyphaene compressa,H.Wendl.
Hyphaene coriacea,Gaertn.
Hyphaene dichotoma,(J.White Dubl. ex Nimmo) Furtado
Hyphaene guineensis,Schumach. & Thonn.
Hyphaene macrosperma,H.Wendl.
Hyphaene petersiana,Klotzsch ex Mart.
Hyphaene reptans,Becc.
Hyphaene thebaica,(L.) Mart.
Hypobathrum coniferum,(Ridl.) Kiew
Hypobathrum glabrum,Mulyan. & Ridsdale
Hypobathrum hirtum,(Ridl.) Mulyan. & Ridsdale
Hypobathrum longifolium,(DC.) K.M.Wong
Hypobathrum microcarpum,(Blume) Bakh.f.
Hypobathrum multibracteatum,Elmer
Hypobathrum parviflorum,Miq.
Hypobathrum racemosum,(Roxb.) Kurz
Hypobathrum venulosum,(Hook.f.) K.M.Wong
Hypocalymma angustifolium,(Endl.) Schauer
Hypocalyptus sophoroides,(P.J.Bergius) Baill.
Hypodaphnis zenkeri,(Engl.) Stapf
Hyptianthera stricta,(Roxb. ex Schult.) Wight & Arn.
Hyptidendron arboreum,(Benth.) Harley
Hyptidendron arbusculum,(Epling) Harley
Hyptidendron asperrimum,(Spreng.) Harley
Hyptidendron canum,(Pohl ex Benth.) Harley
Hyptidendron claussenii,(Benth.) Harley
Hyptidendron conspersum,(Benth.) Harley
Hyptidendron glutinosum,(Benth.) Harley
Hyptis odorata,Benth.
Hyptis pachyphylla,Epling
Hyptis penaeoides,Taub. ex Ule
Icuria dunensis,Wieringa
Idertia axillaris,(Oliv.) Farron
Idesia polycarpa,Maxim.
Idiopappus saloyensis,(Domke) H.Rob. & Panero     
Idiospermum australiense,(Diels) S.T.Blake
Idiothamnus lilloi,(B.L.Rob.) R.M.King & H.Rob.
Ilex abscondita,Steyerm.
Ilex acutidenticulata,Steyerm.
Ilex affinis,Gardner
Ilex aggregata,(Ruiz & Pav.) Loes.
Ilex altiplana,Steyerm.
Ilex amazonensis,Edwin
Ilex ambigua,(Michx.) Torr.
Ilex amboroica,Loes.
Ilex amelanchier,M.A. Curtis ex Chapm.
Ilex amplifolia,Rusby
Ilex amygdalina,Reissek ex Loes.
Ilex andicola,Loes.
Ilex angulata,Merr. & Chun
Ilex anomala,Hook. & Arn.
Ilex anonoides,Loesner
Ilex aquifolium,L.
Ilex aracamuniana,Steyerm.
Ilex archboldiana,Merr. & L.M.Perry
Ilex ardisiifrons,Reissek
Ilex argentina,Lillo
Ilex arimensis,(Loes.) Britton ex R.O.Williams
Ilex arisanensis,Yamam.
Ilex arnhemensis,Loes.
Ilex atrata,W.W. Sm.
Ilex attenuata,Ashe
Ilex austrosinensis,C.J. Tseng
Ilex azuensis,Loes.
Ilex bahiahondica,(Loes.) P.A. Gonzalez
Ilex barahonica,Loes.
Ilex beccariana,Loes.
Ilex beecheyi,(Loes.) Makino
Ilex bidens,C.Y. Wu
Ilex bioritsensis,Hayata
Ilex biserrulata,Loes.
Ilex bogorensis,Loes.
Ilex boliviana,Britton
Ilex brachyphylla,(Hand.-Mazz.) S.Y. Hu
Ilex brandegeeana,Loes.
Ilex brasiliensis,(Spreng.) Loes.
Ilex brevicuspis,Reissek
Ilex brevipedicellata,Steyerm.
Ilex buergeri,Miq.
Ilex bullata,Cuatrec.
Ilex buxoides,S.Y. Hu
Ilex canariensis,Poir.
Ilex casiquiarensis,Loes.
Ilex cassine,L.
Ilex cerasifolia,Reissek
Ilex chamaebuxus,C.Y. Wu
Ilex championii,Loes.
Ilex chapaensis,Merr.
Ilex chartacifolia,C.Y.Wu ex Y.R.Li
Ilex chengbuensis,C.J. Qi & Q.Z. Lin
Ilex chengkouensis,C.J. Tseng
Ilex cheniana,T.R. Dudley
Ilex chiapensis,(Sharp) A.E. Murray
Ilex chinensis,Sims
Ilex chingiana,Hu & T. Tang
Ilex chiriquensis,Standl.
Ilex chuniana,S.Y. Hu
Ilex ciliolata,Steyerm.
Ilex ciliospinosa,Loes.
Ilex cinerea,Champ. ex Benth.
Ilex cissoidea,Loes.
Ilex clementis,Britton & P.Wilson
Ilex cochinchinensis,(Lour.) Loes.
Ilex cognata,Reissek
Ilex colchica,Pojark.
Ilex colombiana,Cuatrec.        
Ilex condensata,Turcz.
Ilex confertiflora,Merr.
Ilex conocarpa,Reissek
Ilex cookii,Britton & P.Wilson
Ilex corallina,Franch.
Ilex cornuta,Lindl. & Paxton
Ilex costaricensis,Donn.Sm.
Ilex cowanii,Wurdack
Ilex crassifolia,Hook.
Ilex crassifolioides,Loes.
Ilex crenata,Thunb.
Ilex cupreonitens,C.Y. Wu
Ilex cuthbertii,Small
Ilex cuzcoana,Loes.
Ilex cymosa,Blume
Ilex cyrtura,Merr.
Ilex dabieshanensis,K. Yao & M.B. Deng
Ilex danielis,Killip & Cuatrec.
Ilex daphnogenea,Reissek
Ilex dasyphylla,Merr.
Ilex davidsei,Steyerm.
Ilex decidua,Walter
Ilex dehongensis,S.K. Chen & Y.X. Feng
Ilex delavayi,Franch.
Ilex denticulata,Wall. ex Wight
Ilex dianguiensis,C.J. Tseng
Ilex dicarpa,Y.R. Li
Ilex dioica,(Vahl) Griseb.
Ilex diospyroides,Reissek
Ilex dipyrena,Wall.
Ilex discolor,Hemsl.
Ilex diuretica,Mart. ex Reissek
Ilex divaricata,Mart. ex Reissek
Ilex dolichopoda,Merr. & Chun
Ilex dugesii,Fernald
Ilex dumosa,Reissek
Ilex dunniana,H. Lév.
Ilex editicostata,Hu & T. Tang
Ilex elliptica,Kunth
Ilex elmerrilliana,S.Y. Hu
Ilex embelioides,Hook.f.
Ilex emmae,D.M.Hicks
Ilex epiphytica,King
Ilex ericoides,Loes.
Ilex euryiformis,Reissek
Ilex euryoides,C.J. Tseng
Ilex excelsa,(Wall.) Voigt
Ilex fanshawei,Edwin
Ilex fargesii,Franch.
Ilex fengqingensis,C.Y. Wu
Ilex ferruginea,Hand.-Mazz.
Ilex ficifolia,C.J. Tseng
Ilex ficoidea,Hemsl.
Ilex floribunda,Reissek ex Maxim.
Ilex florifera,Fawc. & Rendle
Ilex flosparva,Cuatrec.
Ilex formosana,Maxim.
Ilex forrestii,H.F.Comber
Ilex fragilis,Hook.f.
Ilex franchetiana,Loes.
Ilex friburgensis,Loes.
Ilex fuertensiana,(Loes.) T.R.Dudley
Ilex gabinetensis,Cuatrec.
Ilex gabrielleana,"Loizeau & see Spichiger, Rodolphe Edouard"
Ilex gale,Triana & Planch.
Ilex gardneriana,Wight
Ilex georgei,H.F.Comber
Ilex gintungensis,H.W. Li
Ilex glabella,Steyerm.
Ilex glaucophylla,Steyerm.
Ilex gleasoniana,Steyerm.
Ilex glomerata,King
Ilex godajam,Colebr. ex Hook.f.
Ilex goshiensis,Hayata
Ilex gotardensis,Loizeau & Spichiger      
Ilex goudotii,Loes.
Ilex graciliflora,Champ. ex Benth.
Ilex gracilis,C.J. Tseng
Ilex grandiflora,Ridl.
Ilex grandis,Reissek
Ilex guaiquinimae,Steyerm.
Ilex guangnanensis,C.J. Tseng & Y.R. Li
Ilex guayusa,Loes.
Ilex guianensis,(Aubl.) Kuntze
Ilex guizhouensis,C.J. Tseng
Ilex gundlachiana,Loes.
Ilex haberi,(Lundell) W.J.Hahn
Ilex hainanensis,Merr.
Ilex hanceana,Maxim.
Ilex harrisii,Loes.
Ilex hayatana,Loes.
Ilex hemiepiphytica,W.J. Hahn
Ilex hippocrateoides,Kunth
Ilex hirsuta,C.J. Tseng ex S.K. Chen & Y.X. Feng
Ilex holstii,Steyerm.
Ilex hookeri,King
Ilex huachamacariana,Edwin
Ilex hualgayoca,"Loizeau & see Spichiger, Rodolphe Edouard"
Ilex hylonoma,Hu & T. Tang
Ilex hypaneura,Loes.
Ilex hypoglauca,Loes.
Ilex hyrcana,Pojark.
Ilex ignicola,Steyerm.
Ilex illustris,Ridl.
Ilex impressa,Ekman & Loes.
Ilex integerrima,Reissek
Ilex integra,Thunb.
Ilex intermedia,Loes.
Ilex intricata,Hook.f.
Ilex inundata,Poepp. ex Reissek
Ilex jamaicana,Proctor
Ilex jauaensis,Steyerm.
Ilex jelskii,Zahlbr.
Ilex jenmanii,Loes.
Ilex jiaolingensis,C.J. Tseng & H.H. Liu
Ilex jinyunensis,Z.M. Tan
Ilex julianii,Edwin
Ilex juttana,Loizeau & Spichiger
Ilex karuaiana,Steyerm.
Ilex kaushue,S.Y. Hu
Ilex kelsallii,Ridl.
Ilex kengii,S.Y. Hu
Ilex khasiana,Purkay.
Ilex kiangsiensis,(S.Y. Hu) C.J. Tseng & B.W. Liu
Ilex kingiana,Cockerell
Ilex knucklesensis,Philcox
Ilex kobuskiana,S.Y. Hu
Ilex krugiana,Loes.
Ilex kunthiana,Triana
Ilex kusanoi,Hayata
Ilex kwangtungensis,Merr.
Ilex laevigata,(Pursh) A. Gray
Ilex lamprophylla,Standl.
Ilex lancilimba,Merr.
Ilex lasseri,Edwin
Ilex latifolia,Thunb.
Ilex latifrons,Chun
Ilex laureola,Triana
Ilex laurina,Kunth
Ilex ledermannii,Loes.
Ilex liana,S.Y. Hu
Ilex liangii,S.Y. Hu
Ilex liebmannii,Standl.
Ilex linii,C.J. Tseng
Ilex litseifolia,Hu & T. Tang
Ilex liukiuensis,Loes.
Ilex lohfauensis,Merr.
Ilex longicaudata,H.F.Comber
Ilex longipes,Chapm. ex Trel.
Ilex longipetiolata,Loes.
Ilex longzhouensis,C.J. Tseng
Ilex lonicerifolia,Hayata
Ilex loretoica,Loes.
Ilex lundii,Warm.
Ilex maasiana,"Loizeau & see Spichiger, Rodolphe Edouard"
Ilex macarenensis,Cuatrec.
Ilex macfadyenii,(Walp.) Rehder
Ilex machilifolia,H.W. Li
Ilex maclurei,Merr.
Ilex macrocarpa,Oliv.
Ilex macrophylla,Wall.
Ilex macropoda,Miq.
Ilex magnifructa,Edwin
Ilex maingayi,Hook.f.
Ilex malabarica,Bedd.
Ilex malaccensis,Loes.
Ilex mamillata,C.Y. Wu ex C.J. Tseng
Ilex mandonii,Loes.
Ilex manitzii,P.A.González
Ilex manneiensis,S.Y. Hu
Ilex marahuacae,Steyerm.
Ilex marginata,Edwin
Ilex marlipoensis,H.W. Li
Ilex martiniana,D.Don
Ilex matanoana,Makino
Ilex mathewsii,Loes.
Ilex maxima,W.J.Hahn
Ilex maximowicziana,Loes.
Ilex medogensis,Y.R. Li
Ilex melanotricha,Merr.
Ilex memecylifolia,Champ. ex Benth.
Ilex mertensii,Maxim.
Ilex metabaptista,Loes.
Ilex micrantha,Triana & Planch.
Ilex micrococca,Maxim.
Ilex microdonta,Reissek
Ilex microphylla,Hook.
Ilex microstricta,Loes.
Ilex microwrightioides,Loes.
Ilex minutifolia,J.F.Macbr.
Ilex mitis,(L.) Radlk.
Ilex mucronata,"(L.) M. Powell, Savol. & S. Andrews"
Ilex mucronulata,Cuatrec.
Ilex myricoides,Kunth
Ilex myrtifolia,Walter
Ilex nanningensis,Hand.-Mazz.
Ilex nayana,Cuatrec.
Ilex neblinensis,Edwin
Ilex nervosa,Triana
Ilex nervulosa,(Loes.) S.Andrews
Ilex ningdeensis,C.J. Tseng
Ilex nitida,(Vahl) Maxim.
Ilex nitidissima,C.J. Tseng
Ilex nothofagifolia,Kingdon-Ward
Ilex nubicola,C.Y. Wu
Ilex nuculicava,S.Y. Hu
Ilex obcordata,Sw.
Ilex oblonga,C.J. Tseng
Ilex obtusata,Triana & Planch.
Ilex odorata,Buch.-Ham. ex D.Don
Ilex oliveriana,Loes.
Ilex omeiensis,Hu & T. Tang
Ilex opaca,Aiton
Ilex ovalifolia,Bonpl. ex Miers
Ilex ovalis,(Ruiz & Pav.) Loes.
Ilex palawanica,Loes. ex Elmer
Ilex pallida,Standl.
Ilex paraguariensis,A.St.-Hil.
Ilex parvifructa,Edwin
Ilex patens,Ridl.
Ilex pauciflora,Ridl.
Ilex paujiensis,Steyerm.
Ilex pedunculosa,Miq.
Ilex pentagona,"S.K. Chen, Y.X. Feng & C.F. Liang"
Ilex perado,Aiton
Ilex percoriacea,Tuyama
Ilex perlata,C. Chen & S.C. Huang
Ilex pernervata,Cuatrec.
Ilex pernyi,Franch.
Ilex petiolaris,Benth.
Ilex pingnanensis,S.Y. Hu
Ilex polita,Steyerm.
Ilex polyneura,(Hand.-Mazz.) S.Y. Hu
Ilex polypyrena,C.J. Tseng & B.W. Liu
Ilex praetermissa,Kiew
Ilex psammophila,Reissek
Ilex pseudobuxus,Reissek
Ilex pseudoebenacea,Loes.
Ilex pseudomachilifolia,C.Y. Wu
Ilex pseudo-odorata,Loes.
Ilex ptariana,Steyerm.
Ilex ptarima,Steyerm.
Ilex pubescens,Hook. & Arn.
Ilex pubigera,(C.Y. Wu) S.K. Chen & Y.X. Feng
Ilex pubilimba,Merr. & Chun
Ilex punctatilimba,C.Y. Wu
Ilex pustulosa,Triana & Planch.
Ilex pyrifolia,C.J. Tseng
Ilex qianlingshanensis,C.J. Tseng
Ilex qingyuanensis,C.Z. Zheng
Ilex quercetorum,I.M.Johnst.
Ilex quitensis,(Willd. ex Schult.) Loes.
Ilex retusa,Klotzsch ex Reissek
Ilex rimbachii,Standl.
Ilex robustinervosa,C.J. Tseng ex S.K. Chen & Y.X. Feng
Ilex rotunda,Thunb.
Ilex rubra,S. Watson
Ilex rugulosa,Huber
Ilex sapiiformis,Reissek
Ilex sapotifolia,Reissek
Ilex savannarum,Wurdack
Ilex schwackeana,Loes.
Ilex sclerophylla,Hook.f.
Ilex sclerophylloides,Loes.
Ilex scopulorum,Kunth
Ilex sebertii,Pancher
Ilex servinii,E.Carranza
Ilex sessiliflora,Triana & Planch.
Ilex sessilifructa,Edwin
Ilex shennongjiaensis,T.R. Dudley & S.C. Sun
Ilex shimeica,K.F. Kwok
Ilex sideroxyloides,(Sw.) Griseb.
Ilex sikkimensis,Kurz
Ilex sinica,(Loes.) S.Y. Hu
Ilex sintenisii,(Urb.) Britton
Ilex sipapoana,Edwin
Ilex skutchii,Edwin ex T.R.Dudley & W.J.Hahn
Ilex socorroensis,Brandegee
Ilex soderstromii,Edwin
Ilex solida,Edwin
Ilex spinulosa,Cuatrec.
Ilex spruceana,Reissek
Ilex stellata,W.J. Hahn
Ilex sterrophylla,Merr. & Chun
Ilex stewardii,S.Y. Hu
Ilex steyermarkii,Edwin
Ilex strigillosa,T.R. Dudley
Ilex suaveolens,(H. Lév.) Loes.
Ilex subficoidea,S.Y. Hu
Ilex subodorata,S.Y. Hu
Ilex subrotundifolia,Steyerm.
Ilex subrugosa,Loes.
Ilex subtriflora,Griseb.        
Ilex sugerokii,Maxim.
Ilex suichangensis,C.Z. Zheng
Ilex suprema,Cuatrec.
Ilex suzukii,S.Y. Hu
Ilex syzygiophylla,C.J. Tseng ex S.K. Chen & Y.X. Feng
Ilex szechwanensis,Loes.
Ilex tadiandamolensis,"Kesh.Murthy, Yogan. & Vasud.Nair"
Ilex tahanensis,Kiew
Ilex tamii,T.R. Dudley
Ilex tarapotina,Loes.
Ilex tateana,Steyerm.
Ilex taubertiana,Loes.
Ilex tectonica,W.J.Hahn
Ilex tenuis,C.J. Tseng
Ilex tepuiana,Steyerm. ex Edwin
Ilex teratopis,Loes.
Ilex tetramera,(Rehder) C.J. Tseng
Ilex theizans,Mart. ex Reissek
Ilex tiricae,Edwin
Ilex trachyphylla,Loes.
Ilex trichocarpa,H.W. Li
Ilex triflora,Blume
Ilex truxillensis,Turcz.
Ilex tsangii,S.Y. Hu
Ilex tsiangiana,C.J. Tseng
Ilex tsoi,Merr. & Chun
Ilex tugitakayamensis,Sasaki
Ilex tutcheri,Merr.
Ilex uaramae,Edwin
Ilex uleana,Loes.
Ilex umbellata,Klotzsch ex Reissek
Ilex umbellulata,(Wall.) Loes.
Ilex uniflora,Benth.        
Ilex uraiensis,Yamam.
Ilex urbaniana,Loes. ex Urb.
Ilex vacciniifolia,Klotzsch ex Reissek
Ilex valenzuelana,Alain
Ilex velutina,Mart. ex Reissek
Ilex velutinulosa,Cuatrec.
Ilex venezuelensis,Steyerm.
Ilex venosa,C.Y. Wu
Ilex venulosa,Hook.f.
Ilex verisimilis,C.J. Tseng ex S.K. Chen & Y.X. Feng
Ilex verticillata,(L.) A. Gray
Ilex vesparum,Steyerm.
Ilex victorinii,Alain
Ilex villosula,Loes.
Ilex viridis,Champ. ex Benth.
Ilex vismiifolia,Reissek
Ilex vitiensis,A.Gray
Ilex volkensiana,(Loes.) Kaneh. & Hatus.
Ilex vomitoria,Aiton
Ilex vulcanicola,Standl.
Ilex walkeri,Wight & Gardner ex Thwaites
Ilex wallichii,Hook.f.
Ilex wattii,Loes.
Ilex wightiana,Wall. ex Wight
Ilex williamsii,Standl.
Ilex wilsonii,Loes.
Ilex yunnanensis,Franch.
Ilex yurumanguinis,Cuatrec.
Ilex zhejiangensis,C.J. Tseng
Illicium angustisepalum,A.C. Sm.
Illicium arborescens,Hayata
Illicium brevistylum,A.C. Sm.
Illicium burmanicum,E.H. Wilson
Illicium ekmanii,A.C.Sm.
Illicium floridanum,J. Ellis
Illicium griffithii,Hook.f. & Thomson
Illicium henryi,Diels
Illicium hottense,"A.Guerrero, Judd & A.B.Morris"
Illicium jiadifengpi,B.N. Chang
Illicium kinabaluense,A.C.Sm.
Illicium lanceolatum,A.C. Sm.
Illicium macranthum,A.C. Sm.
Illicium majus,Hook. f. & Thomson
Illicium merrillianum,A.C. Sm.
Illicium mexicanum,A.C. Sm.
Illicium micranthum,Dunn
Illicium modestum,A.C. Sm.
Illicium parviflorum,Michx. ex Vent.
Illicium parvifolium,Merr.
Illicium peninsulare,A.C.Sm.
Illicium petelotii,A.C. Sm.
Illicium philippinense,Merr.
Illicium ridleyanum,A.C.Sm.
Illicium simonsii,Maxim.
Illicium stapfii,Merr.
Illicium sumatranum,A.C.Sm.
Illicium tashiroi,Maxim.
Illicium tenuifolium,(Ridl.) A.C. Sm.
Illicium ternstroemioides,A.C. Sm.
Illicium tsaii,A.C. Sm.
Illicium verum,Hook.f.
Illicium wardii,A.C. Sm.
Indigofera ammoxylum,(DC.) Polhill
Indigofera atropurpurea,Buch.-Ham. ex Hornem.
Indigofera cassioides,DC.
Indigofera conzattii,Rose
Indigofera cuernavacana,Rose
Indigofera esquirolii,H.Lév.
Indigofera filicaulis,Eckl. & Zeyh.
Indigofera galegoides,DC.
Indigofera heterantha,Wall. ex Brandis
Indigofera himalayensis,Ali
Indigofera lancifolia,Rydb.
Indigofera lyallii,Baker
Indigofera mahafalensis,"(Du Puy, Labat & Schrire) Schrire           "
Indigofera mangokyensis,R.Vig.
Indigofera platycarpa,Rose
Indigofera rothii,Baker        
Indigofera sokotrana,Vierh.
Indigofera thibaudiana,DC.
Indigofera zollingeriana,Miq.
Indopiptadenia oudhensis,(Brandis) Brenan
Inga acicularis,T.D.Penn.
Inga acreana,Harms
Inga acrocephala,Steud.
Inga acuminata,Benth.
Inga adenophylla,Pittier
Inga affinis,DC.
Inga alata,Benoist
Inga alatocarpa,T.S.Elias
Inga alba,(Sw.) Willd.
Inga albicoria,Poncy
Inga aliena,J.F.Macbr.
Inga allenii,J.León
Inga amboroensis,T.D.Penn.
Inga andersonii,McVaugh
Inga appendiculata,M. Sousa
Inga approximata,T.D.Penn.
Inga aptera,(Vinha) T.D.Penn.
Inga arenicola,T.D.Penn.
Inga aria,J.F.Macbr.
Inga augusti,Harms
Inga auristellae,Harms
Inga balsapambensis,T.D.Penn.
Inga barbata,Benth.
Inga barbourii,Standl.
Inga belizensis,Standl.
Inga bella,M.Sousa
Inga bicoloriflora,Ducke
Inga bijuga,Schery
Inga blanchetiana,Benth.
Inga bollandii,Sprague & Sandwith
Inga bonplandiana,Kunth
Inga bourgoni,(Aubl.) DC.
Inga brachyrhachis,Harms
Inga brachystachys,Ducke
Inga bracteifera,N.Zamora & T.D.Penn.
Inga brevipes,Benth.
Inga bullata,Benth.
Inga bullatorugosa,Ducke
Inga cabelo,T.D.Penn.
Inga cabrerae,M.Sousa
Inga calantha,Ducke
Inga calanthoides,Amshoff
Inga calcicola,M.Sousa
Inga calderonii,Standl.
Inga canonegrensis,N.Zamora & T.D.Penn.
Inga capitata,Desv.
Inga cardozana,L.Cardenas
Inga carinata,T.D.Penn.
Inga caudata,Killip
Inga cayennensis,Sagot ex Benth.
Inga cecropietorum,Ducke
Inga chartacea,Poepp.
Inga chiapensis,Miranda ex M.Sousa
Inga chocoensis,Killip ex T.S.Elias
Inga chrysantha,Ducke
Inga ciliata,C.Presl
Inga cinnamomea,Spruce ex Benth.
Inga cocleensis,Pittier
Inga colimana,"Padilla, Cuevas & Solís"
Inga colombiana,C.Romero
Inga colonchensis,Cornejo & Bonifaz
Inga conchifolia,L.P.Queiroz
Inga conferta,Benth.
Inga congesta,T.D.Penn.
Inga cookii,Pittier
Inga coragypsea,L.Uribe
Inga cordatoalata,Ducke
Inga cordistipula,Mart.
Inga coruscans,Humb. & Bonpl. ex Willd.
Inga cuspidata,M.Sousa
Inga cylindrica,(Vell.) Mart.
Inga cynometrifolia,Harms
Inga dasycarpa,M.Sousa
Inga davidsei,M.Sousa
Inga davidsoniae,Standl.        
Inga densiflora,Benth.
Inga disticha,Benth.
Inga dominicensis,Benth.
Inga duckei,Huber
Inga dwyeri,M.Sousa
Inga edulis,Mart.
Inga edwallii,(Harms) T.D.Penn.
Inga enterolobioides,T.D.Penn.
Inga eriocarpoides,Britton & Killip
Inga exalata,T.S.Elias
Inga exfoliata,T.D.Penn. & F.C.P.García
Inga exilis,T.D.Penn.
Inga expansa,Rusby
Inga extra-nodis,T.D.Penn.
Inga fanchoniana,Poncy
Inga fastuosa,(Jacq.) Willd.
Inga fendleriana,Benth.
Inga feuillei,DC.
Inga filiformis,N.Zamora
Inga flagelliformis,Mart.
Inga flexuosa,Schltdl.
Inga fosteriana,T.D.Penn.
Inga gereauana,(Pipoly & R.Vásquez) T.D.Penn.
Inga globularis,T.D.Penn.
Inga glomeriflora,Ducke
Inga goldmanii,Pittier
Inga golfodulcensis,N.Zamora
Inga goniocalyx,Britton & Killip
Inga graciliflora,Benth.
Inga gracilifolia,Ducke
